Date,Open,High,Low,Close,Adj Close,Volume
2022-09-07,36.849998,38.720001,36.750000,38.599998,38.599998,11802600
2022-09-08,38.099998,39.540001,37.930000,38.880001,38.880001,10188000
2022-09-09,39.360001,39.610001,39.040001,39.259998,39.259998,7405000
2022-09-12,39.599998,40.259998,39.110001,39.220001,39.220001,7832900
2022-09-13,37.740002,38.520000,37.619999,37.790001,37.790001,7532800
2022-09-14,37.560001,38.470001,36.709999,38.430000,38.430000,7990000
2022-09-15,38.200001,39.669998,38.150002,38.900002,38.900002,8411000
2022-09-16,37.930000,37.990002,37.009998,37.480000,37.480000,10781500
2022-09-19,37.189999,39.020000,37.180000,38.700001,38.700001,7951100
2022-09-20,38.599998,39.389999,37.630001,38.169998,38.169998,9607800
2022-09-21,37.480000,37.740002,36.090000,36.119999,36.119999,14719700
2022-09-22,36.200001,36.299999,34.009998,34.450001,34.450001,12081000
2022-09-23,33.669998,33.919998,32.270000,33.070000,33.070000,13266800
